name,name_2,id,goal_assist,goals,expected_goals_per_90,expected_assists_per_90,rating,nation,pos,squad,born,comp
Inigo Ruiz de Galarreta,goals,282462,4.0,0.0,0.03,0.18,7.09,es ESP,MF,Athletic Bilbao,1994.0,La Liga
Marko Dmitrovic,goals,280818,0.0,0.0,0.0,0.0,7.09,rs SRB,GK,Leganés,1992.0,La Liga
Sergio Herrera,goals,683762,0.0,0.0,0.0,0.0,7.09,es ESP,GK,Osasuna,1993.0,La Liga
José Gayà,goals,391058,1.0,0.0,0.06,0.17,7.09,es ESP,DF,Valencia,1995.0,La Liga
Fabio Silva,goals,1050158,3.0,10.0,0.42,0.09,7.09,pt POR,FW,Las Palmas,2002.0,La Liga
Pau Cubarsi,goals,1532137,3.0,0.0,0.03,0.03,7.09,es ESP,DF,Barcelona,2000.0,La Liga
Martin Zubimendi,goals,1031325,1.0,2.0,0.08,0.04,7.08,es ESP,MF,Real Sociedad,1999.0,La Liga
Francisco Garcia,goals,750028,2.0,0.0,0.04,0.07,7.08,es ESP,DF,Real Madrid,1997.0,La Liga
Clément Lenglet,goals,488412,1.0,1.0,0.08,0.04,7.08,fr FRA,DF,Atlético Madrid,1995.0,La Liga
Jan Oblak,goals,177126,0.0,0.0,0.0,0.0,7.08,si SVN,GK,Atlético Madrid,1993.0,La Liga
Enzo Barrenechea,goals,1352923,2.0,1.0,0.06,0.05,7.07,ar ARG,MF,Valencia,2001.0,La Liga
Alexander Sørloth,goals,440330,2.0,17.0,0.83,0.04,7.07,no NOR,FW,Atlético Madrid,1995.0,La Liga
Augusto Batalla,goals,621415,0.0,0.0,0.0,0.0,7.07,ar ARG,GK,Rayo Vallecano,1996.0,La Liga
Ante Budimir,goals,251269,4.0,19.0,0.59,0.04,7.07,hr CRO,FW,Osasuna,1991.0,La Liga
Thibaut Courtois,goals,170323,0.0,0.0,0.0,0.0,7.07,be BEL,GK,Real Madrid,1992.0,La Liga
Diego Llorente,goals,420568,0.0,2.0,0.05,0.01,7.07,es ESP,DF,Betis,1993.0,La Liga
